,EVA_NR,DS100,IFOPT,db_name,traffic,operator_name,operator_nr,status,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,county,state,state_code,city,country,country_code,attribution,attribution_license,attribution_url
1358,8001965,TFAU,de:08117:153,Faurndau,RV,DB Station und Service AG,1767,,45.35575211736427,Villa Hammer Salamanderstraﬂe 4 73035 Gˆppingen Germany,48.711246900000006,9.615815773868402,4,Villa Hammer,Salamanderstraﬂe,73035,Gˆppingen,Faurndau,Landkreis Gˆppingen,Baden-W¸rttemberg,BW,Gˆppingen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1359,8001967,TFV,de:08118:7403,Favoritepark,RV,DB Station und Service AG,1768,,114.9369304910837,Eduard-Spranger-Straﬂe 9 71634 Ludwigsburg Germany,48.910235,9.180042,9,,Eduard-Spranger-Straﬂe,71634,Ludwigsburg,,Ludwigsburg,Baden-W¸rttemberg,BW,Ludwigsburg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1360,8001969,NFZ,de:09475:8905,Feilitzsch,nur DPN,DB Station und Service AG,1769,,1.6888275592056292,Mittelweg 95183 Feilitzsch Germany,50.364343000000005,11.934002510296857,,Feilitzsch,Mittelweg,95183,,,Landkreis Hof,Bavaria,,Feilitzsch,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1361,8001970,MFA,de:09188:5470,Feldafing,RV,DB Station und Service AG,1770,,2.4205458050900495,Traubinger Straﬂe 82340 Feldafing Germany,47.9469563,11.2902416,,Feldafing,Traubinger Straﬂe,82340,Feldafing,,Landkreis Starnberg,Bavaria,,Feldafing,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1362,8001971,RFB,de:08315:6539,Feldberg-B‰rental,RV,DB Station und Service AG,1772,,1.5878610068516168,Parkplatz Bahnhof Feldberg-B‰rental Bahnhofstraﬂe 79868 Feldberg Germany,47.87148045,8.098192961067706,,Parkplatz Bahnhof Feldberg-B‰rental,Bahnhofstraﬂe,79868,Schluchsee,Feldberg-B‰rental,Landkreis Breisgau-Hochschwarzwald,Baden-W¸rttemberg,BW,Feldberg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1363,8001972,EFEL,de:05512:4095,Feldhausen,RV,DB Station und Service AG,1773,,46.94077968982147,Feldhausen Schloﬂgasse 36 46244 Bottrop Germany,51.614531,6.973234,36,Feldhausen,Schloﬂgasse,46244,Bottrop,,Bottrop,North Rhine-Westphalia,,Bottrop,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1364,8001973,MFK,de:09184:2110,Feldkirchen(b M¸nchen),RV,DB Station und Service AG,1774,,0,Velaskostraﬂe 85622 Feldkirchen Germany,48.152051,11.732951874556916,,Feldkirchen,Velaskostraﬂe,85622,,,Landkreis M¸nchen,Bavaria,,Feldkirchen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1365,8001974,TFE,de:08119:6500,Fellbach,RV,DB Station und Service AG,1775,,6.374580417090918,Eisenbahnstraﬂe 14 70736 Fellbach Germany,48.8199939,9.270187494334719,14,,Eisenbahnstraﬂe,70736,Fellbach,Berg,Rems-Murr-Kreis,Baden-W¸rttemberg,BW,Fellbach,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1366,8001976,EFER,de:05970:10438,Ferndorf(Siegen),nur DPN,DB Station und Service AG,1782,,0.3942430708240562,Ferndorf (Siegen) 57223 Kreuztal Germany,50.95945,8.00923,,Ferndorf (Siegen),,57223,Kreuztal,,Siegen-Wittgenstein,North Rhine-Westphalia,,Kreuztal,Germany,de,,CC BY 4.0,https://www.geonames.org/datasources/nan
1367,8001977,AFEB,de:01058:26827,Felde,RV,DB Station und Service AG,8009,,5.084923823963452,Felde Bahnhof Am Bahnhof 24242 Felde,,,,,,,,,,,,,,,,,
